"KG-NR";"KATASTRALGEMEINDE";"BUNDESLAND";"VERMESSUNGSAMT";"BEZIRKSGERICHT";"FINANZAMT";"BEZIRKSHAUPTMANNSCHAFT/MAGISTRAT";"PG-NR";"POLITISCHE GEMEINDE";"ANZ_EZ";"ANZ_GST";"ANZ_GST GK";"ANZ_BAUFLÄCHEN";"FL_BAUFLÄCHEN";"ANZ_LANDW. GENUTZT";"FL_LANDW. GENUTZT";"ANZ_GÄRTEN";"FL_GÄRTEN";"ANZ_WEINGÄRTEN";"FL_WEINGÄRTEN";"ANZ_ALPEN";"FL_ALPEN";"ANZ_WALD";"FL_WALD";"ANZ_GEWÄSSER";"FL_GEWÄSSER";"ANZ_Strom";"FL_Strom";"ANZ_Flüsse";"FL_Flüsse";"ANZ_Bäche";"FL_Bäche";"ANZ_Gräben";"FL_Gräben";"ANZ_Kanäle";"FL_Kanäle";"ANZ_Seen";"FL_Seen";"ANZ_Sümpfe";"FL_Sümpfe";"ANZ_Teiche";"FL_Teiche";"ANZ_andere GEWÄSSER";"FL_andere GEWÄSSER";"ANZ_SONSTIGE";"FL_SONSTIGE";"ANZ_Bundesstraßen A";"FL_Bundesstraßen A";"ANZ_Bundesstraßen S und B";"FL_Bundesstraßen S und B";"ANZ_Landesstraßen";"FL_Landesstraßen";"ANZ_Bezirksstraßen";"FL_Bezirksstraßen";"ANZ_Güterwege";"FL_Güterwege";"ANZ_Wege";"FL_Wege";"ANZ_Straßen";"FL_Straßen";"ANZ_Gassen";"FL_Gassen";"ANZ_Plätze";"FL_Plätze";"ANZ_Ortsraum";"FL_Ortsraum";"ANZ_Bahngrund";"FL_Bahngrund";"ANZ_Unproduktiv (Öde)";"FL_Unproduktiv (Öde)";"ANZ_andere SONSTIGE";"FL_andere SONSTIGE";"FL_KATASTRALGEMEINDE"
"01002";"Alsergrund";"Wien";"Wien";"Innere Stadt Wien";"für den 9.,18. u. 19. Bezirk";"Alsergrund";"90001";"Wien";1632;2386;46;1689;1622066;0;0;350;310596;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;348;1025477;0;0;24;65648;0;0;0;0;0;0;12;20847;77;271340;183;384168;14;45755;0;0;23;196026;2;59;13;41634;2958139
"01004";"Innere Stadt";"Wien";"Wien";"Innere Stadt Wien";"für den 1. Bezirk";"Innere Stadt";"90001";"Wien";1297;1895;11;1431;1372356;0;0;49;120775;0;0;0;0;0;0;1;56337;0;0;1;56337;0;0;0;0;0;0;0;0;0;0;0;0;0;0;414;1323150;0;0;0;0;0;0;0;0;0;0;2;23372;91;395877;232;428833;73;303917;0;0;0;0;0;0;16;171151;2872618
"01005";"Josefstadt";"Wien";"Wien";"Innere Stadt Wien";"für den 8.,16. u. 17. Bezirk";"Josefstadt";"90001";"Wien";945;1346;18;1001;688132;0;0;237;84860;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;109;317737;0;0;0;0;0;0;0;0;0;0;0;0;10;90401;76;172413;7;31031;0;0;6;6035;0;0;10;17857;1090729
"01006";"Landstraße";"Wien";"Wien";"Innere Stadt Wien";"für den 3. u. 11. Bezirk";"Landstraße";"90001";"Wien";2930;4934;285;2943;3095615;156;483914;988;1351446;0;0;0;0;0;0;1;983;0;0;0;0;1;983;0;0;0;0;0;0;0;0;0;0;0;0;854;2242119;24;29199;8;22200;1;961;0;0;0;0;55;27496;213;605201;398;754242;51;231670;6;831;23;169098;6;2072;69;399149;7174077
"01008";"Margarethen";"Wien";"Wien";"Innere Stadt Wien";"für den 4.,5. u. 10. Bezirk";"Margareten";"90001";"Wien";1636;2408;95;1768;1150423;3;1720;337;157359;0;0;0;0;0;0;3;369;0;0;3;369;0;0;0;0;0;0;0;0;0;0;0;0;0;0;297;696733;0;0;21;59033;0;0;0;0;0;0;1;219;56;171136;178;341529;15;39884;5;19848;7;50072;0;0;14;15012;2006604
"01009";"Mariahilf";"Wien";"Wien";"Innere Stadt Wien";"für den 6.,7. u. 15. Bezirk";"Mariahilf";"90001";"Wien";1156;1589;83;1224;898381;0;0;190;65524;0;0;0;0;0;0;2;60468;0;0;2;60468;0;0;0;0;0;0;0;0;0;0;0;0;0;0;173;433912;0;0;6;2645;0;0;0;0;0;0;0;0;35;167811;113;228357;1;5449;3;1895;3;7984;2;409;10;19362;1458285
"01010";"Neubau";"Wien";"Wien";"Innere Stadt Wien";"für den 6.,7. u. 15. Bezirk";"Neubau";"90001";"Wien";1323;1798;48;1372;1096988;0;0;258;88873;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;168;418928;0;0;9;18921;0;0;0;0;0;0;0;0;37;103057;98;231878;7;19611;0;0;2;13671;2;2097;13;29693;1604789
"01011";"Wieden";"Wien";"Wien";"Innere Stadt Wien";"für den 4.,5. u. 10. Bezirk";"Wieden";"90001";"Wien";1209;1776;52;1282;1009263;0;0;284;215369;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;210;577295;0;0;2;27130;0;0;0;0;0;0;0;0;50;190720;121;227191;18;56339;0;0;3;20409;5;4859;11;50647;1801927
"01101";"Favoriten";"Wien";"Wien";"Favoriten";"für den 4.,5. u. 10. Bezirk";"Favoriten";"90001";"Wien";1994;3245;203;2093;1597584;256;501083;290;537004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;609;2608679;0;0;0;0;0;0;0;0;0;0;31;28699;118;340994;317;542414;34;132744;0;0;12;1274246;10;50575;87;239007;5244350
"01102";"Inzersdorf Stadt";"Wien";"Wien";"Favoriten";"für den 4.,5. u. 10. Bezirk";"Favoriten";"90001";"Wien";1126;3194;509;1329;1300040;385;2236481;1021;1705007;0;0;0;0;0;0;5;46918;0;0;0;0;1;1169;0;0;0;0;0;0;0;0;4;45749;0;0;482;2569703;0;0;5;15131;0;0;0;0;0;0;84;370955;89;385424;221;474343;29;130460;0;0;5;201694;2;1397;47;990299;7858149
