"KG-NR";"KATASTRALGEMEINDE";"BUNDESLAND";"VERMESSUNGSAMT";"BEZIRKSGERICHT";"FINANZAMT";"BEZIRKSHAUPTMANNSCHAFT/MAGISTRAT";"PG-NR";"POLITISCHE GEMEINDE";"ANZ_EZ";"ANZ_GST";"ANZ_GST GK";"ANZ_BAUFLÄCHEN";"FL_BAUFLÄCHEN";"ANZ_LANDW. GENUTZT";"FL_LANDW. GENUTZT";"ANZ_GÄRTEN";"FL_GÄRTEN";"ANZ_WEINGÄRTEN";"FL_WEINGÄRTEN";"ANZ_ALPEN";"FL_ALPEN";"ANZ_WALD";"FL_WALD";"ANZ_GEWÄSSER";"FL_GEWÄSSER";"ANZ_Strom";"FL_Strom";"ANZ_Flüsse";"FL_Flüsse";"ANZ_Bäche";"FL_Bäche";"ANZ_Gräben";"FL_Gräben";"ANZ_Kanäle";"FL_Kanäle";"ANZ_Seen";"FL_Seen";"ANZ_Sümpfe";"FL_Sümpfe";"ANZ_Teiche";"FL_Teiche";"ANZ_andere GEWÄSSER";"FL_andere GEWÄSSER";"ANZ_SONSTIGE";"FL_SONSTIGE";"ANZ_Bundesstraßen A";"FL_Bundesstraßen A";"ANZ_Bundesstraßen S und B";"FL_Bundesstraßen S und B";"ANZ_Landesstraßen";"FL_Landesstraßen";"ANZ_Bezirksstraßen";"FL_Bezirksstraßen";"ANZ_Güterwege";"FL_Güterwege";"ANZ_Wege";"FL_Wege";"ANZ_Straßen";"FL_Straßen";"ANZ_Gassen";"FL_Gassen";"ANZ_Plätze";"FL_Plätze";"ANZ_Ortsraum";"FL_Ortsraum";"ANZ_Bahngrund";"FL_Bahngrund";"ANZ_Unproduktiv (Öde)";"FL_Unproduktiv (Öde)";"ANZ_andere SONSTIGE";"FL_andere SONSTIGE";"FL_KATASTRALGEMEINDE";"MER";"ZENTRUM Bezeichnung";"y-Koord";"x-Koord";"y-ggmmss";"x-ggmmss";"Höhe";"ANZ_TP";"ANZ_EP";"ANZ_EPterr";"ANZ_EPphot";"ANZ_GP";"ANZ_GP E";"ANZ_GP S";"ANZ_GP G";"ANZ_GP PP"
"01002";"Alsergrund";"Wien";"Wien";"Josefstadt";"für den 9.,18. u. 19. Bezirk";"Alsergrund";"90001";"Wien";1636;2385;53;1690;1622180;0;0;347;310126;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;350;1025794;0;0;24;65648;0;0;0;0;0;0;12;20847;77;271473;185;384352;14;45755;0;0;23;196026;2;59;13;41634;2958100;34;"";+1762;+342442;162125;481315;177;38;9;9;0;2000;1486;0;513;0
"01004";"Innere Stadt";"Wien";"Wien";"Innere Stadt Wien";"für den 1. Bezirk";"Innere Stadt";"90001";"Wien";1312;1933;16;1430;1310039;1;61008;50;123275;0;0;0;0;0;0;1;56337;0;0;1;56337;0;0;0;0;0;0;0;0;0;0;0;0;0;0;452;1321998;0;0;23;29491;0;0;0;0;0;0;3;22069;95;371443;232;428788;74;298087;0;0;9;3201;0;0;16;168919;2872657;34;"";+3041;+341095;162227;481232;171;47;3;3;0;2948;2818;0;116;0
"01005";"Josefstadt";"Wien";"Wien";"Josefstadt";"für den 8.,16. u. 17. Bezirk";"Josefstadt";"90001";"Wien";950;1347;19;1001;688206;0;0;237;84860;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110;317799;0;0;0;0;0;0;0;0;0;0;0;0;10;90401;77;172475;7;31031;0;0;6;6035;0;0;10;17857;1090865;34;"";+1299;+341350;162103;481240;195;14;12;12;0;891;738;0;153;0
"01006";"Landstraße";"Wien";"Wien";"Innere Stadt Wien";"für den 3. u. 11. Bezirk";"Landstraße";"90001";"Wien";2911;4835;311;2924;3101207;152;480152;920;1305450;0;0;0;0;0;0;1;983;0;0;0;0;1;983;0;0;0;0;0;0;0;0;0;0;0;0;851;2286388;25;29710;8;22200;1;961;0;0;0;0;44;23035;219;622863;405;756176;51;213350;6;831;23;169188;6;2072;63;446002;7174180;34;"";+4904;+339561;162357;481142;169;80;50;50;0;7081;4932;0;2016;0
"01008";"Margarethen";"Wien";"Wien";"Innere Stadt Wien";"für den 4.,5. u. 10. Bezirk";"Margareten";"90001";"Wien";1643;2403;97;1763;1150194;3;1720;337;157359;0;0;0;0;0;0;3;369;0;0;3;369;0;0;0;0;0;0;0;0;0;0;0;0;0;0;297;696946;0;0;21;59033;0;0;0;0;0;0;1;219;56;171136;178;341742;15;39884;5;19848;7;50072;0;0;14;15012;2006588;34;"";+1561;+338669;162116;481113;170;23;16;16;0;2923;2136;0;779;0
"01009";"Mariahilf";"Wien";"Wien";"Innere Stadt Wien";"für den 6.,7. u. 15. Bezirk";"Mariahilf";"90001";"Wien";1159;1591;85;1225;898330;0;0;190;65524;0;0;0;0;0;0;2;60468;0;0;2;60468;0;0;0;0;0;0;0;0;0;0;0;0;0;0;174;433963;0;0;6;2645;0;0;0;0;0;0;0;0;36;167871;113;228348;1;5449;3;1895;3;7984;2;409;10;19362;1458285;34;"";+1492;+339841;162112;481151;192;22;10;10;0;2277;1668;0;603;0
"01010";"Neubau";"Wien";"Wien";"Josefstadt";"für den 6.,7. u. 15. Bezirk";"Neubau";"90001";"Wien";1328;1795;53;1370;1096835;0;0;257;88814;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;168;419129;0;0;9;18921;0;0;0;0;0;0;0;0;37;103121;98;232015;7;19611;0;0;2;13671;2;2097;13;29693;1604778;34;"";+810;+340388;162039;481209;207;21;6;6;0;1473;974;0;499;0
"01011";"Wieden";"Wien";"Wien";"Innere Stadt Wien";"für den 4.,5. u. 10. Bezirk";"Wieden";"90001";"Wien";1217;1782;55;1283;1016817;0;0;283;215118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;216;570061;0;0;10;44706;0;0;0;0;0;0;0;0;49;173194;121;227667;18;56339;0;0;3;20409;5;4859;10;42887;1801996;34;"";+2629;+339726;162207;481147;200;21;10;10;0;2634;2241;0;386;0
"01101";"Favoriten";"Wien";"Wien";"Favoriten";"für den 4.,5. u. 10. Bezirk";"Favoriten";"90001";"Wien";2004;3254;223;2087;1626295;253;499672;291;563812;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;626;2555248;0;0;1;587;0;0;0;0;0;0;31;28699;124;350548;322;546559;34;121577;1;498;13;1204976;9;50571;91;251233;5245027;34;"";+3477;+337318;162248;481029;248;32;30;30;0;3862;2566;0;1231;0
"01102";"Inzersdorf Stadt";"Wien";"Wien";"Favoriten";"für den 4.,5. u. 10. Bezirk";"Favoriten";"90001";"Wien";1214;3209;535;1322;1278448;383;2072747;1032;1846022;0;0;0;0;0;0;5;46918;0;0;0;0;1;1169;0;0;0;0;0;0;0;0;4;45749;0;0;497;2613967;0;0;6;15784;0;0;0;0;0;0;89;376256;91;385601;223;503968;29;130460;0;0;5;201694;2;1397;52;998807;7858102;34;"";+1862;+336348;162130;480958;243;24;61;61;0;7500;5234;0;2115;0
"01103";"Kaiserebersdorf";"Wien";"Wien";"Innere Stadt Wien";"für den 3. u. 11. Bezirk";"Simmering";"90001";"Wien";1927;4873;1209;932;750512;772;2342366;2475;4016466;0;0;0;0;4;7419;17;34735;0;0;0;0;9;9960;2;312;4;24124;0;0;0;0;0;0;2;339;684;4597449;12;82474;33;73277;0;0;0;0;0;0;110;141129;203;348533;267;182295;9;37806;1;288;30;719417;3;495;16;3011735;11748947;34;"";+8753;+334818;162704;480908;174;41;59;59;0;5329;1843;0;3402;0
"01104";"Oberlaa Land";"Wien";"Wien";"Favoriten";"für den 4.,5. u. 10. Bezirk";"Favoriten";"90001";"Wien";1233;2968;229;862;340146;1054;3134746;781;475942;0;0;0;0;0;0;12;133970;0;0;0;0;11;130823;0;0;0;0;0;0;0;0;1;3147;0;0;269;418910;0;0;5;670;0;0;0;0;0;0;53;43234;104;173784;71;56714;1;1369;2;71;4;1854;3;359;26;140855;4503714;34;"";+5410;+333004;162422;480809;175;6;41;41;0;3829;2745;0;1066;0
"01105";"Oberlaa Stadt";"Wien";"Wien";"Favoriten";"für den 4.,5. u. 10. Bezirk";"Favoriten";"90001";"Wien";1208;2757;244;650;249659;978;3830107;751;1248841;77;190505;0;0;36;382211;3;34520;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;34520;0;0;279;1663973;3;22193;12;4503;0;0;0;0;0;0;66;76485;50;125158;106;154201;1;867;1;1611;0;0;0;0;40;1278955;7599816;34;"";+5606;+335092;162431;480917;250;13;64;64;0;1678;475;0;1189;0
"01106";"Rothneusiedl";"Wien";"Wien";"Favoriten";"für den 4.,5. u. 10. Bezirk";"Favoriten";"90001";"Wien";160;470;55;110;74503;199;1644562;117;117656;0;0;0;0;0;0;7;10403;0;0;0;0;7;10403;0;0;0;0;0;0;0;0;0;0;0;0;38;51650;0;0;5;236;0;0;0;0;0;0;9;14109;12;19119;10;16875;1;297;0;0;0;0;0;0;1;1014;1898774;34;"";+3582;+333044;162253;480811;190;1;20;20;0;459;202;0;257;0
"01107";"Simmering";"Wien";"Wien";"Innere Stadt Wien";"für den 3. u. 11. Bezirk";"Simmering";"90001";"Wien";2141;5221;611;1788;2205046;817;2238186;1687;2894438;0;0;0;0;3;70510;11;25468;0;0;0;0;3;572;6;2005;2;22891;0;0;0;0;0;0;0;0;941;2960815;36;186609;15;46321;0;0;0;0;0;0;188;206580;239;519658;324;459216;23;22207;1;74;22;540679;2;546;91;978925;10394463;34;"";+6711;+336798;162525;481012;173;56;63;63;0;5648;2209;0;3355;0
"01108";"Unterlaa";"Wien";"Wien";"Favoriten";"für den 4.,5. u. 10. Bezirk";"Favoriten";"90001";"Wien";293;751;64;147;87016;416;3076493;113;92771;0;0;0;0;0;0;5;16704;0;0;0;0;4;16567;1;137;0;0;0;0;0;0;0;0;0;0;76;107561;0;0;0;0;0;0;1;664;0;0;50;67395;18;29260;2;1661;0;0;0;0;0;0;0;0;5;8581;3380545;34;"";+6661;+331946;162522;480735;200;4;27;27;0;1305;920;0;378;0
