"KG-NR";"KATASTRALGEMEINDE";"BUNDESLAND";"VERMESSUNGSAMT";"BEZIRKSGERICHT";"FINANZAMT";"BEZIRKSHAUPTMANNSCHAFT/MAGISTRAT";"PG-NR";"POLITISCHE GEMEINDE";"ANZ_EZ";"ANZ_GST";"ANZ_GST GK";"ANZ_BAUFLÄCHEN";"FL_BAUFLÄCHEN";"ANZ_Gebäude";"FL_Gebäude";"ANZ_befestigt";"FL_befestigt";"ANZ_begrünt";"FL_begrünt";"ANZ_BAUFLÄCHEN n.n.u.";"FL_BAUFLÄCHEN n.n.u.";"ANZ_LANDW. GENUTZT";"FL_LANDW. GENUTZT";"ANZ_GÄRTEN";"FL_GÄRTEN";"ANZ_Erholungsflächen";"FL_Erholungsflächen";"ANZ_WEINGÄRTEN";"FL_WEINGÄRTEN";"ANZ_ALPEN";"FL_ALPEN";"ANZ_WALD";"FL_WALD";"ANZ_GEWÄSSER";"FL_GEWÄSSER";"ANZ_fließend";"FL_fließend";"ANZ_stehend";"FL_stehend";"ANZ_Sumpf";"FL_Sumpf";"ANZ_GEWÄSSER n.n.u.";"FL_GEWÄSSER n.n.u.";"ANZ_SONSTIGE";"FL_SONSTIGE";"ANZ_Straßenanlagen";"FL_Straßenanlagen";"ANZ_Bahnanlagen";"FL_Bahnanlagen";"ANZ_Abbauflächen";"FL_Abbauflächen";"ANZ_Ödland";"FL_Ödland";"ANZ_SONSTIGE n.n.u.";"FL_SONSTIGE n.n.u.";"FL_KATASTRALGEMEINDE";"MER";"ZENTRUM Bezeichnung";"y-Koord";"x-Koord";"y-ggmmss";"x-ggmmss";"Höhe";"ANZ_TP";"ANZ_EP";"ANZ_EPterr";"ANZ_EPphot";"ANZ_GP";"ANZ_GP E";"ANZ_GP S";"ANZ_GP G";"ANZ_GP PP"
"01002";"Alsergrund";"Wien";"Wien";"Josefstadt";"für den 9.,18. u. 19. Bezirk";"Alsergrund";"90001";"Wien";1625;2375;60;3729;1840568;1725;1203601;1548;278929;429;330074;27;27964;0;0;60;220333;60;220333;0;0;0;0;0;0;8;11072;8;11072;0;0;0;0;0;0;536;886025;527;811526;7;51906;0;0;0;0;2;22593;2957998;34;"Chemisch-physikalisches Institut";+1762;+342442;162125;481315;177;38;9;9;0;2317;1710;0;607;0
"01004";"Innere Stadt";"Wien";"Wien";"Innere Stadt Wien";"für den 1. Bezirk";"Innere Stadt";"90001";"Wien";1314;1939;19;2792;1403273;1458;1118009;1255;221066;48;36565;31;27633;0;0;41;364635;41;364635;0;0;0;0;0;0;5;33574;1;29109;4;4465;0;0;0;0;597;1071185;587;1061456;9;2990;0;0;0;0;1;6739;2872667;34;"St. Stefan Dom";+3041;+341095;162227;481232;171;47;3;3;0;2980;2723;0;257;0
"01005";"Josefstadt";"Wien";"Wien";"Josefstadt";"für den 8.,16. u. 17. Bezirk";"Josefstadt";"90001";"Wien";950;1350;29;2284;770203;1031;521320;867;127994;374;117032;12;3857;0;0;13;23661;13;23661;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;158;297004;156;295969;2;1035;0;0;0;0;0;0;1090868;34;"Piaristenkirche";+1299;+341350;162103;481240;195;14;12;12;0;984;752;0;232;0
"01006";"Landstraße";"Wien";"Wien";"Innere Stadt Wien";"für den 3. u. 11. Bezirk";"Landstraße";"90001";"Wien";2693;4557;401;6815;4368783;3012;2175937;2329;1035224;1446;1125925;28;31697;1;28128;153;767060;151;760749;0;0;0;0;0;0;15;15193;1;983;14;14210;0;0;0;0;1154;1993718;1031;1666604;100;256860;0;0;0;0;23;70254;7172882;34;"Herz Jesu Kirche";+4904;+339561;162357;481142;169;80;50;50;0;8094;5442;0;2466;0
"01008";"Margarethen";"Wien";"Wien";"Innere Stadt Wien";"für den 4.,5. u. 10. Bezirk";"Margareten";"90001";"Wien";1622;2375;127;3977;1318988;1783;830821;1216;168099;963;312109;15;7959;0;0;27;57713;27;57713;0;0;0;0;3;1274;0;0;0;0;0;0;0;0;0;0;444;628111;432;617803;11;10306;0;0;0;0;1;2;2006086;34;"Reinprechtsdorferstraße 35";+1561;+338669;162116;481113;170;23;16;16;0;3133;2152;0;981;0
"01009";"Mariahilf";"Wien";"Wien";"Innere Stadt Wien";"für den 6.,7. u. 15. Bezirk";"Mariahilf";"90001";"Wien";1152;1582;96;2644;959454;1214;662084;909;137518;508;146592;13;13260;0;0;35;34088;35;34088;0;0;0;0;0;0;1;41431;1;41431;0;0;0;0;0;0;266;423421;265;421576;0;0;0;0;0;0;1;1845;1458394;34;"Esterhazy Betonturm u. Apollo";+1492;+339841;162112;481151;192;22;10;10;0;2448;1726;0;722;0
"01010";"Neubau";"Wien";"Wien";"Josefstadt";"für den 6.,7. u. 15. Bezirk";"Neubau";"90001";"Wien";1326;1798;65;3136;1171012;1415;802976;1172;219314;539;143956;10;4766;0;0;26;42282;26;42282;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;217;391513;217;391513;0;0;0;0;0;0;0;0;1604807;34;"St. Laurent. Pfarrkirche";+810;+340388;162039;481209;207;21;6;6;0;1694;1100;0;594;0
"01011";"Wieden";"Wien";"Wien";"Innere Stadt Wien";"für den 4.,5. u. 10. Bezirk";"Wieden";"90001";"Wien";1215;1783;63;3072;1261117;1323;748478;955;144873;786;363309;8;4457;0;0;38;70803;38;70803;0;0;0;0;0;0;4;1359;0;0;4;1359;0;0;0;0;266;469011;265;468813;0;0;0;0;0;0;1;198;1802290;34;"Paulanerkirche";+2629;+339726;162207;481147;200;21;10;10;0;2619;2131;0;488;0
"01101";"Favoriten";"Wien";"Wien";"Favoriten";"für den 4.,5. u. 10. Bezirk";"Favoriten";"90001";"Wien";1995;3235;242;2369;2169521;34;72732;0;0;283;474806;2052;1621983;237;475400;37;78753;37;78753;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;595;2521638;517;1106866;13;1197595;0;0;9;45672;56;171505;5245312;34;"Amalienbad";+3477;+337318;162248;481029;248;32;30;30;0;3914;2464;0;1358;0
"01102";"Inzersdorf Stadt";"Wien";"Wien";"Favoriten";"für den 4.,5. u. 10. Bezirk";"Favoriten";"90001";"Wien";1209;3241;603;2363;3139680;223;358082;1;2569;980;1665910;1159;1113119;342;2019196;7;53167;7;53167;0;0;0;0;0;0;5;46918;1;1169;4;45749;0;0;0;0;557;2600678;500;1497279;8;203632;25;621348;1;72;23;278347;7859639;34;"Stefan Fadinger-Platz, Kirche";+1862;+336348;162130;480958;243;24;61;61;0;8463;5760;0;2528;0
