"KG_NUMMER";"ANZ_GST";"ANZ_GST_GK";"FL_GST_GK";"ANZ_EZ";"ANZ_TP";"ANZ_EP";"ANZ_PP";"ANZ_MP";"ANZ_GP";"ANZ_GP_E";"ANZ_GP_G";"ANZ_GP_S";"ANZ_ADRESSEN";"ANZ_GEBAEUDE";"FL_GEBAEUDE";"ANZ_GEBAEUDENEBENFLAECHEN";"FL_GEBAEUDENEBENFLAECHEN";"ANZ_AECKER_WIESEN_WEIDEN";"FL_AECKER_WIESEN_WEIDEN";"ANZ_DAUERKULTUR_ERWERB";"FL_DAUERKULTUR_ERWERB";"ANZ_VERBUSCHTE_FLAECHEN";"FL_VERBUSCHTE_FLAECHEN";"ANZ_GAERTEN";"FL_GAERTEN";"ANZ_WEINGAERTEN";"FL_WEINGAERTEN";"ANZ_ALPEN";"FL_ALPEN";"ANZ_WAELDER";"FL_WAELDER";"ANZ_KRUMMHOLZFLAECHEN";"FL_KRUMMHOLZFLAECHEN";"ANZ_FORSTSTRASSEN";"FL_FORSTSTRASSEN";"ANZ_FLIESSENDE_GEWAESSER";"FL_FLIESSENDE_GEWAESSER";"ANZ_STEHENDE_GEWAESSER";"FL_STEHENDE_GEWAESSER";"ANZ_GEWAESSERRANDFLAECHEN";"FL_GEWAESSERRANDFLAECHEN";"ANZ_FEUCHTGEBIETE";"FL_FEUCHTGEBIETE";"ANZ_STRASSENVERKEHRSANL";"FL_STRASSENVERKEHRSANL";"ANZ_VERKEHRSRANDFLAECHEN";"FL_VERKEHRSRANDFLAECHEN";"ANZ_PARKPLAETZE";"FL_PARKPLAETZE";"ANZ_SCHIENENVERKEHRSANL";"FL_SCHIENENVERKEHRSANL";"ANZ_BETRIEBSFLAECHEN";"FL_BETRIEBSFLAECHEN";"ANZ_ABBAU_HALDEN_DEPONIEN";"FL_ABBAU_HALDEN_DEPONIEN";"ANZ_FREIZEITFLAECHEN";"FL_FREIZEITFLAECHEN";"ANZ_FRIEDHOEFE";"FL_FRIEDHOEFE";"ANZ_VEGETATIONSARME_FL";"FL_VEGETATIONSARME_FL";"ANZ_FELS_GEROELL";"FL_FELS_GEROELL";"ANZ_GLETSCHER";"FL_GLETSCHER";"RZI_ANZ_RECHTL_WEINGARTEN";"RZI_FL_RECHTL_WEINGARTEN";"RZI_ANZ_RECHTL_KEIN_WEING";"RZI_FL_RECHTL_KEIN_WEING";"RZI_ANZ_RECHTL_WALD";"RZI_FL_RECHTL_WALD";"RZI_ANZ_RECHTL_NICHT_WALD";"RZI_FL_RECHTL_NICHT_WALD";"FL_GES_VERWALTUNGSEINHEIT"
"01002";2445;212;666752;1644;34;9;;;4028;1740;2231;;;1729;1253841;1510;186919;;;;;;;325;466461;;;;;;;;;;;1;3340;;;7;12699;;;403;772066;24;28077;11;28778;61;117728;3;16840;;;40;71093;1;2295;;;;;;;;;;;;;;;2960137
"01004";2016;54;97618;1319;40;3;;;4742;3849;807;;;1461;1190931;1044;118258;;;;;;;67;53931;;;;;;;;;;;2;29602;2;4342;;;;;538;1095222;6;11064;21;35674;;;1;881;;;44;342759;;;;;;;;;;;;;;;;;2882664
"01005";1371;81;77377;952;15;9;;;1599;958;641;;;1028;535108;917;110528;;;;;;;263;120935;;;;;;;;;;;;;;;;;;;159;294894;;;6;4102;10;5504;;;;;9;18448;;;;;;;;;;;;;;;;;1089519
"01006";4847;956;2509287;2833;65;46;;;12505;7104;5346;;;3064;2293382;1789;194008;;;;;;;1553;995222;;;;;;;;;;;1;104;4;9536;3;24679;;;1278;1652735;108;91386;99;144342;68;80451;307;719861;;;148;879587;2;58097;;;;;;;;;;;;;;;7143390
"01008";2327;208;275088;1619;17;13;;;4285;2428;1832;;;1820;861590;1231;131849;;;;;;;675;239768;;;;;;;;;;;;;;;;;;;422;608237;5;1599;22;21588;11;19640;27;46073;;;52;81922;;;;;;;;;;;;;;;;;2012266
"01009";1582;136;137089;1126;20;6;;;3225;2050;1166;;;1242;703582;825;89833;;;;;;;492;133854;;;;;;;;;;;1;29950;;;;;;;257;422127;13;6631;9;10993;3;3639;2;2759;;;32;45287;;;;;;;;;;;;;;;;;1448655
"01010";1790;115;138990;1313;17;5;;;2455;1451;915;;;1424;847962;1293;195082;;;;;;;179;96041;;;;;;;;;;;;;;;;;;;158;370149;6;9166;9;30778;6;11120;;;;;24;44122;;;;;;;;;;;;;;;;;1604420
"01011";1815;88;119836;1222;14;6;;;3202;2485;706;;;1377;764952;895;98779;;;;;;;749;307530;;;;;;;;;;;;;4;1372;;;;;268;462669;9;4960;11;14082;3;5127;4;18544;;;38;123059;;;;;;;;;;;;;;;;;1801074
"01101";3350;511;1500992;2047;26;26;;;5730;2925;2732;;;2389;1391227;1273;142993;;;1;5449;;;975;925293;;;;;;;;;;;;;1;375;;;;;691;1153846;4;2245;50;87880;93;1124134;35;127727;;;69;273301;1;44396;;;;;;;;;;;;;;;5278866
"01102";5041;2736;3642236;1702;20;55;;;14467;6899;7540;;;2927;1231090;469;61202;8;104420;;;;;2293;1954331;;;;;60;410470;;;;;;;19;169846;;;;;1770;1455763;9;12544;74;258544;17;164502;69;304620;;;137;1734409;;;;;;;;;;;;;;;;;7861741
"01103";4918;1859;3656968;2038;37;53;;;14695;7042;7473;;;2203;1073057;91;11784;327;887829;528;1748221;;;1881;1597807;;;;;47;181089;;;;;3;3482;9;2341;1;12507;;;1725;1038772;195;279009;78;224451;104;397537;262;1228310;;;83;252878;20;2822566;;;;;;;;;;;;;;;11761640
"01104";3055;487;689484;1388;5;35;;;5928;3428;2351;;;1429;404762;169;11825;616;2438696;;;;;1384;656875;;;;;4;4959;;;;;6;21975;1;772;9;79612;;;723;437451;192;180916;4;5586;8;4220;136;176852;;;29;53301;9;35570;;;;;;;;;;;;;;;4513372
"01105";4213;1963;1877663;1506;12;58;;;9564;4232;5255;;;1856;520778;16;1855;566;2267771;;;49;25386;1749;1366780;85;228533;;;57;442138;;;;;;;6;94669;;;;;1518;631438;165;135110;72;163995;76;193280;97;216531;;;141;1319133;1;396;;;;;;;;;;;;;;;7607793
"01106";747;364;340936;267;2;16;;;1977;945;1017;;;305;57581;11;656;148;1422936;;;1;9470;337;166270;;;;;9;44654;;;;;1;760;;;1;4573;;;249;99837;58;57671;4;3523;;;31;26344;;;8;6488;;;;;;;;;;;;;;;;;1900763
"01107";6586;2539;5352175;2650;43;50;;;21304;10565;10529;;;3705;1866711;329;40164;77;410590;253;1015261;1;790;3371;2079672;;;;;46;121143;;;;;1;13040;1;978;2;1168;;;1787;1561153;312;447142;123;259229;166;383136;445;1662783;;;134;509406;1;56517;;;;;;;;;;;;;;;10428883
"01108";752;95;319944;314;2;23;;;1629;966;650;;;245;80106;28;4134;328;2268585;;;9;6407;233;126963;;;;;15;118916;;;;;4;3944;;;5;8541;;;255;172053;128;137210;1;1209;;;68;368027;;;45;85155;;;;;;;;;;;;;;;;;3381250
"01109";387;94;811644;153;5;19;;;986;396;570;;;180;192209;20;2169;43;201349;57;251572;5;22210;112;106328;;;;;41;600031;;;;;3;278737;13;142970;24;122941;;;99;134389;18;46932;5;16853;13;28789;34;384162;;;6;48809;2;4056;;;;;;;;;;;;;;;2584506
"01201";3079;321;339446;2432;15;36;;;3636;2101;1452;;;2398;352791;6;1548;66;2750389;;;26;248767;2518;1305653;;;;;109;19106411;;;18;895485;27;64860;6;32612;28;122276;;;435;549093;74;223663;3;5609;6;11176;43;240749;;;39;169043;;;;;;;;;;;;;;;;;26080125
"01202";1949;715;535757;984;6;14;;;5107;2420;2665;;;1361;413412;277;33216;;;;;;;1115;629356;;;;;;;;;;;;;;;;;;;362;331377;9;6134;4;5832;;;15;180760;;;9;59452;1;66831;;;;;;;;;;;;;;;1726370
"01203";450;53;142246;185;3;4;;;1195;730;447;;;224;82202;29;3047;;;;;;;244;175952;;;;;3;3068;;;;;1;22553;;;;;;;87;82790;4;3499;;;16;26636;1;3639;;;8;27075;;;;;;;;;;;;;;;;;430461
"01204";6665;1377;839938;3005;30;53;;;11207;6093;4847;;;3821;408561;138;7076;85;949300;6;46955;9;68758;3968;2090016;;;;;339;15942571;;;31;74083;45;121378;7;13987;46;63362;;;1150;543787;20;16395;6;11331;3;17203;30;28336;;;46;180249;1;12582;;;;;;;;;;;;;;;20595930
"01205";1422;116;168708;652;6;16;;;2602;1419;881;;;779;240423;125;12094;;;2;1449;;;798;551874;;;;;71;62177;;;;;;;1;250;;;;;137;209539;7;2447;3;1999;1;12514;8;3797;;;27;35397;1;95934;;;;;;;;;;;;;;;1229894
"01206";6455;1892;2134670;2992;26;45;;;15068;7061;7878;;;4105;593319;130;8470;;;6;7740;;;4160;2324342;;;;;126;1241241;;;;;51;85066;7;5997;4;134459;;;999;586626;35;54471;7;5288;27;126090;51;115599;;;30;811899;8;47774;;;;;;;;;;;;;;;6148381
"01207";2275;186;470438;1024;8;13;;;2821;1604;1205;;;1297;331131;65;5891;;;;;;;1300;745592;;;;;37;64180;;;;;;;;;;;;;209;263662;13;11188;3;5258;5;11061;9;43438;;;24;224216;1;7071;;;;;;;;;;;;;;;1712688
"01208";978;79;199245;444;6;9;;;1859;1123;716;;;547;177363;100;14039;;;9;5846;;;462;362448;;;;;;;;;;;1;27428;;;;;;;185;165737;4;1099;8;15924;13;80351;4;8737;;;6;39494;;;;;;;;;;;;;;;;;898466
"01209";5564;901;681212;2738;14;55;;;9279;4595;4542;;;2994;538335;131;13641;88;300127;1;1170;5;2160;3361;1934512;;;;;175;356323;;;;;21;806;2;1492;;;;;1068;531055;52;21596;9;6884;3;18054;17;7215;;;67;171085;1;35100;;;;;;;;;;;;;;;3939555
