KG_NR;KG;Meridian;GKZ;PG;BKZ;PB;FA_NR;FA;GB_KZ;GB;VA_NR;VA;DS_NR;DS;BL_KZ;BL;FL
"01002";"Alsergrund";"M34";"90001";"Wien";"900";"Wien(Stadt)";"007";"f.d.9/18/19 Bez.,Klosterneuburg";"028";"Josefstadt";"01";"Wien";"";"";"9";"Wien";2960137
"01004";"Innere Stadt";"M34";"90001";"Wien";"900";"Wien(Stadt)";"001";"f.d.1.Bez. in Wien";"010";"Innere Stadt Wien";"01";"Wien";"";"";"9";"Wien";2882664
"01005";"Josefstadt";"M34";"90001";"Wien";"900";"Wien(Stadt)";"006";"f.d.8.,16.u.17.Bez. in Wien";"028";"Josefstadt";"01";"Wien";"";"";"9";"Wien";1089519
"01006";"Landstraße";"M34";"90001";"Wien";"900";"Wien(Stadt)";"003";"f.d.3/11 Bez,Schwechat,Gerasdorf";"010";"Innere Stadt Wien";"01";"Wien";"";"";"9";"Wien";7143390
"01008";"Margarethen";"M34";"90001";"Wien";"900";"Wien(Stadt)";"004";"f.d.4.,5.u.10.Bez. in Wien";"010";"Innere Stadt Wien";"01";"Wien";"";"";"9";"Wien";2012266
"01009";"Mariahilf";"M34";"90001";"Wien";"900";"Wien(Stadt)";"005";"f.d.6.,7.u.15.Bez. in Wien";"010";"Innere Stadt Wien";"01";"Wien";"";"";"9";"Wien";1448655
"01010";"Neubau";"M34";"90001";"Wien";"900";"Wien(Stadt)";"005";"f.d.6.,7.u.15.Bez. in Wien";"028";"Josefstadt";"01";"Wien";"";"";"9";"Wien";1604420
"01011";"Wieden";"M34";"90001";"Wien";"900";"Wien(Stadt)";"004";"f.d.4.,5.u.10.Bez. in Wien";"010";"Innere Stadt Wien";"01";"Wien";"";"";"9";"Wien";1801074
"01101";"Favoriten";"M34";"90001";"Wien";"900";"Wien(Stadt)";"004";"f.d.4.,5.u.10.Bez. in Wien";"011";"Favoriten";"01";"Wien";"";"";"9";"Wien";5278866
"01102";"Inzersdorf Stadt";"M34";"90001";"Wien";"900";"Wien(Stadt)";"004";"f.d.4.,5.u.10.Bez. in Wien";"011";"Favoriten";"01";"Wien";"";"";"9";"Wien";7861741
