"jahr","Dauersiedelungsraum","Versiegelt","Fläche","gemeinde","gkz","Versiegelt_percapita"
"2002",31587706406,1885313119,83882494215,"Österreich","00000",233
"2003",31545076200,1922947335.5,83876054403,"Österreich","00000",237
"2004",31493949193,1962104593.6,83872286647,"Österreich","00000",240
"2005",31471303238,1985822527.9,83873642420,"Österreich","00000",241
"2006",31456316243,2003463220.7,83895896516,"Österreich","00000",242
"2007",31433760748,2023395012.75,83889144900,"Österreich","00000",244
"2008",31405021532,2056905936.55,83884455656,"Österreich","00000",247
"2009",31377600739,2102180917.7,83870158849,"Österreich","00000",252
"2010",31372629956,2142497726.7,83884951694,"Österreich","00000",256
"2011",31359881979,2175899523.4,83885690203,"Österreich","00000",259
"2012",31296545487,2233973026.75,83881374938,"Österreich","00000",265
"2013",31286835014,2252813353,83882319264,"Österreich","00000",266
"2014",31272257636,2278799621.8,83882991248,"Österreich","00000",267
"2015",31264966982,2297607689.65,83882463737,"Österreich","00000",266
"2016",31247610152,2311991184.75,83881697148,"Österreich","00000",265
"2002",28825196,3171861.5,42909753,"Eisenstadt","10101",272
"2003",28776684,3109384.35,42885399,"Eisenstadt","10101",266
"2004",28773860,3150091.1,42884852,"Eisenstadt","10101",267
"2005",28778794,3163486.4,42884792,"Eisenstadt","10101",263
"2006",28796653,3169839.45,42885013,"Eisenstadt","10101",260
"2007",28799514,3187529.45,42885419,"Eisenstadt","10101",258
"2008",28872333,3658492.5,42882707,"Eisenstadt","10101",292
"2009",28871729,3670767.05,42882895,"Eisenstadt","10101",289
"2010",28866825,3687963.55,42882806,"Eisenstadt","10101",288
"2011",28867784,3709958.15,42883745,"Eisenstadt","10101",286
"2012",28703957,3496471.8,42883706,"Eisenstadt","10101",267
"2013",28632551,3502703.85,42812942,"Eisenstadt","10101",262
"2014",28700943,3520651.6,42881334,"Eisenstadt","10101",261
"2015",28701417,3528491.2,42881777,"Eisenstadt","10101",258
"2016",28701753,3590608.9,42882113,"Eisenstadt","10101",252
"2002",8324751,470126.5,20009575,"Rust","10201",272
"2003",8316049,474485.65,20009772,"Rust","10201",274
"2004",8316049,474485.65,20009772,"Rust","10201",269
"2005",8316049,474531.85,20009772,"Rust","10201",264
"2006",8315988,475530.6,20009787,"Rust","10201",264
"2007",8315988,475549.85,20009787,"Rust","10201",262
"2008",8385006,602920.15,20009582,"Rust","10201",332
"2009",8385006,603466.15,20009582,"Rust","10201",322
"2010",8384982,604507.25,20009558,"Rust","10201",322
"2011",8385003,606361.5,20009579,"Rust","10201",321
"2012",8371469,631165.35,20009630,"Rust","10201",334
"2013",8371484,635739.65,20009642,"Rust","10201",331
"2014",8371485,635781,20009643,"Rust","10201",327
"2015",8371428,635980.2,20009586,"Rust","10201",330
"2016",8371493,636520.35,20009651,"Rust","10201",333
"2002",9748593,637189.7,25751070,"Breitenbrunn am Neusiedler See","10301",370
"2003",9753061,640188.85,25751101,"Breitenbrunn am Neusiedler See","10301",371
"2004",9754157,641773.75,25751085,"Breitenbrunn am Neusiedler See","10301",368
"2005",9754032,641821.95,25750960,"Breitenbrunn am Neusiedler See","10301",365
"2006",9754429,648886.85,25751357,"Breitenbrunn am Neusiedler See","10301",367
"2007",9751058,662838.25,25751338,"Breitenbrunn am Neusiedler See","10301",372
"2008",9238670,751202.25,25751274,"Breitenbrunn am Neusiedler See","10301",414
"2009",9238701,753433.6,25751257,"Breitenbrunn am Neusiedler See","10301",407
